Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Global_Test_Loss,Global_Test_Acc,Global_Test_F1,Global_Eval_Time_Sec,Local_Test_Loss,Local_Test_Acc,Local_Test_F1,Local_Eval_Time_Sec,Learning_Rate,Epoch_Time_Sec,Is_Best
1,0.236535,90.1357,0.173939,92.8781,0.172931,92.8558,0.928532,71.40,N/A,N/A,N/A,N/A,0.00100000,1152.67,Yes
2,0.173528,92.9148,0.179120,92.6941,0.178981,92.5427,0.925223,69.50,N/A,N/A,N/A,N/A,0.00099385,1173.14,No
3,0.162670,93.3315,0.162353,93.4585,0.163250,93.2745,0.932693,64.61,N/A,N/A,N/A,N/A,0.00097555,1070.59,Yes
4,0.156232,93.5875,0.406511,89.3203,0.405507,89.2767,0.892079,65.10,N/A,N/A,N/A,N/A,0.00094556,1048.35,No
5,0.150010,93.8548,0.170663,92.9208,0.171461,92.8002,0.928141,65.25,N/A,N/A,N/A,N/A,0.00090460,1024.30,No
6,0.144084,94.1072,0.186113,92.3417,0.184103,92.3680,0.923429,68.28,N/A,N/A,N/A,N/A,0.00085370,1043.40,No
7,0.138222,94.3602,0.171167,92.9454,0.172001,92.9160,0.929170,68.08,N/A,N/A,N/A,N/A,0.00079410,1051.10,No
8,0.130582,94.7059,0.169085,93.2680,0.169385,93.1599,0.931583,65.09,N/A,N/A,N/A,N/A,0.00072727,1058.14,No
9,0.122435,95.0533,0.174866,93.0206,0.173905,93.0021,0.929969,61.50,N/A,N/A,N/A,N/A,0.00065485,1024.48,No
10,0.111796,95.5486,0.176047,93.1709,0.175213,93.0674,0.930664,61.82,N/A,N/A,N/A,N/A,0.00057864,980.18,No
11,0.099042,96.0884,0.198313,92.8508,0.196835,92.7562,0.927480,61.48,N/A,N/A,N/A,N/A,0.00050050,981.46,No
12,0.084091,96.7380,0.213215,92.8003,0.212874,92.7465,0.927447,61.47,N/A,N/A,N/A,N/A,0.00042236,983.09,No
13,0.067927,97.4400,0.254330,92.5580,0.254718,92.5265,0.925285,61.35,N/A,N/A,N/A,N/A,0.00034615,979.68,No
